,translated,label,annotation
12,"Wait I remember, DepEd Secretary insisted to continue Online Blended Learning as the students cursed her regarding online learning last October 5. But when you see how sensitive she is re: read modules – you will be really disappointed even if you are still a student. PUTANGINA AH","[[69, 77, 'neg'], [122, 130, 'neg'], [194, 201, 'neg']]","[['learning', 'neg'], ['learning', 'neg'], ['modules', 'neg']]"
13,@DepEd_PH I am a solo parent and my 2 daughters are both on a public school .. I have limited time as I am also workinh to make a living and have chosen blended learning online and modules but the teachers from my grade 6 student always skip online class and switch to self paced.,"[[161, 169, 'neu'], [197, 205, 'neg'], [249, 254, 'neg'], [181, 188, 'neg']]","[['learning', 'neu'], ['teachers', 'neg'], ['class', 'neg'], ['modules', 'neg']]"
14,Difficulty with modules? Difficulty with blended learning? Difficulty with online classes? https://t.co/FHohsfLzIc,"[[16, 23, 'neu'], [49, 57, 'neu'], [82, 89, 'neu']]","[['modules', 'neu'], ['learning', 'neu'], ['classes', 'neu']]"
15,You give instruction in your online class and then those in front of you make you laugh. #onlineclass #distancelearning @ WildFlour Café + Bakery BGC https://t.co/IrZKikzKjs,"[[36, 41, 'neu']]","[['class', 'neu']]"
16,Teaching prepositions to a 5-year old is one challenging feat 🤣😅 #HomeSchool #BackToSchool #distancelearning,"[[0, 8, 'pos']]","[['teaching', 'pos']]"
17,"After work, Kaikai's homework is attached to the google classroom. 😂 #mommalife #distancelearning","[[21, 29, 'neu']]","[['homework', 'neu']]"
18,I can no longer handle my distance learning 2.0 as a college student potekkkk,"[[35, 43, 'neg']]","[['learning', 'neg']]"
19,"@MayeCC1 @kalyeseryefan1 @reyzchelle21 I donated to ADN’s fund drive to make modules for distance learning. I'm happy. I see because I used the money as intended. Also, I do not know @dearfriendcan personally, but she did not hesitate to help me. That’s the kind of person she is.","[[98, 106, 'pos'], [77, 84, 'pos']]","[['learning', 'pos'], ['modules', 'pos']]"
20,Our TEACHERS 'jobs are heavier now during Distance Learning than during F2F mode. Work/Teach From Home is really a big NO!,"[[14, 18, 'neg'], [42, 50, 'neg'], [51, 59, 'neg'], [82, 86, 'neg'], [87, 92, 'neg']]","[['jobs', 'neg'], ['distance', 'neg'], ['learning', 'neg'], ['work', 'neg'], ['teach', 'neg']]"
21,"Today, we are once again thrown into the trap of distance learning. In the challenge of time, @R4EDiliman stands up for our right to safe, affordable, and quality education! #EducationIsARight #DefendUP #LigtasNaBalikEskwela #JoinR4E https://t.co/QB9TVdpQSg","[[58, 66, 'neg'], [163, 172, 'pos']]","[['learning', 'neg'], ['education', 'pos']]"
22,"While distance learning for basic education students is a challenge, it's even more so for teachers figuring out how best to teach students with disabilities. #Spedlearningtakeaway2","[[15, 23, 'neg'], [34, 43, 'neg'], [44, 52, 'neg'], [91, 99, 'neg']]","[['learning', 'neg'], ['education', 'neg'], ['students', 'neg'], ['teachers', 'neg']]"
23,"Thank you, St. Jude @phinmaeducation for these prepaid Load Cards for my advisory students. This will augment their distance learning needs. Go on! https://t.co/rRFfLWF18o","[[125, 133, 'pos']]","[['learning', 'pos']]"
24,"Thankful for unexpected rly great bonds formed bc of distance learning. 💖 med life is a pain, but it’s true that the people you’re with through the journey makes it worth it. #MD2023","[[62, 70, 'pos']]","[['learning', 'pos']]"
25,"OMG! The founder of our company has commended my Cost-Benefit Analysis! He is presenting it to the whole company, even to the Chiefs! I am a Distance Learning Program Manager but hell yeah #AccountingIsLife","[[150, 158, 'pos']]","[['learning', 'pos']]"
26,"distance learning is not effective ,, i feel pity to the students who have difficulty: ((even my fast learner has difficulty as in !!! #AcademicFreezeNOW","[[9, 17, 'neg'], [57, 65, 'neg'], [102, 109, 'neg']]","[['learning', 'neg'], ['students', 'neg'], ['learner', 'neg']]"
27,#WINtayosaeducation online streaming & amp; distance learning classes. ✍🏼 https://t.co/SjLIeYVlGH,"[[53, 61, 'neu'], [62, 69, 'neu']]","[['learning', 'neu'], ['classes', 'neu']]"
28,"#1stdayofschool of my niece then we are all at home caring expectators. Effort in cheering, encouraging, and silly.No one watched basketball. 😂😂😂 Salute to d teachers who r carrying out their professions and to all families who r supporting distance learning","[[161, 169, 'pos'], [218, 226, 'pos'], [253, 261, 'pos']]","[['chers wh', 'pos'], ['ilies wh', 'pos'], ['rning', 'pos']]"
29,"We’ve only been with @PLDT_Cares for less than a month but I can say that I am satisfied (working from home) more so my nephews who are currently under distance learning. Thank you, PLDT! https://t.co/rYY1cdOk9B","[[161, 169, 'pos']]","[['learning', 'pos']]"
30,"Thanks #DepEd Division pf Lucena City, Quezon Province 🇵🇭 for the opportunity to share cool stuffs and best practices on Online Distance Learning with @MicrosoftEDU Educator Center, @wakelet @Flipgrid and @GetKahoot https://t.co/Dt9Gdb98Yu","[[139, 147, 'pos']]","[['arning w', 'pos']]"
31,"Reported on two stories today. First, families of missing Filipino seafarers struggle to keep hope alive. Second, private and state universities and colleges share distance learning challenges. Some 54K students in SUCs decided not to enroll this year. https://t.co/UbUpSlRoeQ","[[132, 144, 'neg'], [149, 157, 'neg'], [173, 181, 'neg']]","[['universities', 'neg'], ['colleges', 'neg'], ['learning', 'neg']]"
32,"As we celebrate #WorldLiteracyDay, we are reminded that everyone has the right to have access to quality education. We continue to push for better internet quality and increased spending on technology to prepare teachers and students for distance learning in the new normal. https://t.co/JH4cfZ4i3R","[[147, 155, 'pos'], [190, 200, 'pos'], [212, 220, 'pos'], [225, 233, 'pos'], [247, 255, 'pos']]","[['internet', 'pos'], ['technology', 'pos'], ['teachers', 'pos'], ['students', 'pos'], ['learning', 'pos']]"
33,@PenelopePilarta Therefore: This administration is a threat to our mental health. Add to the stress of online-distance learning,"[[74, 80, 'neg'], [119, 127, 'neg']]","[['health', 'neg'], ['learning', 'neg']]"
34,Distance Learning is No Clarity ... #AcademicFreezeNOW,"[[9, 17, 'neg']]","[['learning', 'neg']]"
35,"It's hard to adjust to distance learning and self study, you still have crazy people at home who add stress instead of being comfortable, just more irritable.","[[32, 40, 'neg'], [88, 92, 'neg']]","[['learning', 'neg'], ['home', 'neg']]"
36,"Are you ready with your little ones for Distance Learning? This kind of set up is really different from the ""norm"" that we had before. It may be difficult, but I know, all of us will be able to adjust in the long… https://t.co/buGW3RUkCs","[[49, 57, 'neu']]","[['learning', 'neu']]"
37,Do you think it’s time to craft a new policy on attendance in online classes? #remotelearning,"[[69, 76, 'neu'], [48, 58, 'neu']]","[['classes', 'neu'], ['attendance', 'neu']]"
38,"Welcome to our online meeting. It’s good to see you again, at least in those nice little squares. Haha! Why did I say that? #remotelearning","[[22, 29, 'neu']]","[['meeting', 'neu']]"
39,"my email inbox is literally flooded every day by “Submitted Late” reqs bc students are barely making their dues, then we'll hear pro/spe/ro de/vera saying remote learning is effective and there's no need to go back to face- to-face How out of touch 🤡","[[162, 170, 'neg'], [74, 82, 'neg']]","[['learning', 'neg'], ['students', 'neg']]"
40,Funny that you will prioritize your org meeting more than our meeting for reporting in class tomorrow 🙃 I don't like group works ... and I DONT LIKE REMOTE LEARNING HUHUHU,"[[157, 165, 'neg']]","[['earning', 'neg']]"
41,"if i do loa because of remote learning i just don't know if i can graduate within 2-3 years because it doesn't seem like the ph in covid is moving forward and i guess honestly i will graduate remote learning, i will graduate tired, i don't know, i always cry, no frends, now","[[30, 38, 'neg'], [131, 136, 'neg']]","[['learning', 'neg'], ['covid', 'neg']]"
42,"Hello fellow UP, UPIS, UP Prep, UPHS, UP Elem Alumni friends & amp; family! Or if you know someone who is UP! My batch, UPIS Batch 96 is this year’s Silver jubilarians & amp; we are currently raising funds for remote learning needs of UPIS students & amp; teachers .....","[[217, 225, 'neu']]","[['learning', 'neu']]"
43,"There is no ""hell week"" in this remote type of learning. Every day is hell. ⁇","[[32, 38, 'neg'], [47, 55, 'neg']]","[['remote', 'neg'], ['learning', 'neg']]"
44,YES I HAVE DIFFICULTY WITH LDR !!! LONG DISTANCE/REMOTE (LEARNING) !!!! https://t.co/whzW46U3E1,"[[57, 65, 'neg']]","[['learning', 'neg']]"
45,"I don't want this in Remote Learning, I'll finish sem, I still have students I don't know face to face. ⁇","[[28, 36, 'neg']]","[['learning', 'neg']]"
46,"Student grievances on remote learning, concerns on additional requirements and deadlines, and clarification of the recent memorandum released by the Office of the Vice President for Academic Affairs on the second semester A.Y. 2020-2021 and midyear 2021 were discussed.","[[29, 37, 'neu'], [62, 75, 'neu'], [79, 88, 'neu']]","[['learning', 'neu'], ['requirements', 'neu'], ['deadlines', 'neu']]"
47,Serious remote learning is exposing the other materials that are taught to our youth :(,"[[15, 23, 'neu'], [46, 55, 'neu']]","[['learning', 'neu'], ['materials', 'neu']]"
48,"Collaboration space is very relevant in distance and remote learning. Students, Parents, Colleaques and even friends has an easy access to spaces. https://t.co/fJAnXpZXZM","[[60, 68, 'pos'], [70, 78, 'pos'], [80, 87, 'pos'], [89, 99, 'pos'], [109, 116, 'pos']]","[['learning', 'pos'], ['students', 'pos'], ['parents', 'pos'], ['colleaques', 'pos'], ['friends', 'pos']]"
49,Back to school 🙏 Remote Life 🥰 Quarantine haircut ✔️Online 👍🏻 Grateful for another year of learning #aj2cj2 #ArylJohn #CobyJaden @ McKinley BGC https://t.co/dW5sYxwawi,"[[95, 104, 'pos']]","[['ning #aj2', 'pos']]"
50,Lazy ↑↑↑ Module yet! 😪 You're leaving COVID😪 #modules #stress #kayapa #covidgoaway #modular 😭 @ Sa Bahay Namin https://t.co/poNh2CCkXX,"[[9, 15, 'neg']]","[['module', 'neg']]"
51,@chlslng More modules pa po lord pls.,"[[14, 21, 'neu']]","[['modules', 'neu']]"
52,"to give up on everything. As long as I will support my life, I will love Gameboys no matter what happens because of them I have been very productive when it comes to making modules now even if it is hard online and with honors.🥺❤️ #GameboysALoveStory","[[173, 180, 'neg'], [204, 210, 'neg']]","[['modules', 'neg'], ['online', 'neg']]"
53,"I know that I will be fooled like this in the modules, I hope that's what I did at the hospital","[[46, 53, 'neg']]","[['modules', 'neg']]"
54,2nd Grading modules done still catching up with 64 pota,"[[12, 19, 'neu']]","[['modules', 'neu']]"
55,"What's even more shocking, THE 3RD GRADING IS OVER, AND THE MODULES GIVEN TO THE PARENT ARE STILL LACKING SINCE THE MODULES ARRIVED AT SCHOOL LATE.","[[60, 67, 'neu'], [116, 123, 'neu']]","[['modules', 'neu'], ['modules', 'neu']]"
56,made my whole day even tired of pt tsakaa modules https://t.co/Uub0z5Eur5,"[[42, 49, 'neg']]","[['modules', 'neg']]"
57,Drake's other modules and Assignments I'm late passing too busy with merchandise. ⁇,"[[14, 21, 'neg'], [26, 37, 'neg']]","[['modules', 'neg'], ['assignments', 'neg']]"
58,These piles of modules are slowly coming to an end,"[[15, 22, 'neu']]","[['modules', 'neu']]"
59,"Modules, quizzes and exams only","[[0, 7, 'neu'], [9, 16, 'neu'], [21, 26, 'neu']]","[['modules', 'neu'], ['quizzes', 'neu'], ['exams', 'neu']]"
60,I can get back to reality first and finish my modules early,"[[46, 53, 'neu']]","[['modules', 'neu']]"
61,I get sleepy when teaching modules to my brother e 😅🤣,"[[27, 34, 'neu']]","[['modules', 'neu']]"
62,"I forgot to smudge ""Kaori Béatrice"" in my modules omfl. Everything seems to be almost, ""GALIMBA, Kaori Béatrice A."" ang nakalagay 🤣😭","[[42, 49, 'neu']]","[['modules', 'neu']]"
63,@fgroa_pnglnn ayoko na angge eh :( kanina pa ako umiiyak HAHAHAHA tangena modules lang to,"[[74, 81, 'neg']]","[['modules', 'neg']]"
64,Potek puro selpon ka self? finish your modules!,"[[39, 46, 'neu']]","[['modules', 'neu']]"
65,"I have a lot of modules, activities but I don't have any motivation to start it all hahaha","[[16, 23, 'neg'], [25, 35, 'neg']]","[['modules', 'neg'], ['activities', 'neg']]"
66,I need to finish my piles of modules to be able to drive lessons for me😭,"[[29, 36, 'neu']]","[['modules', 'neu']]"
67,yesterday modules now I was chosen to take the exam. juskoooooo student life yorn 😅😅,"[[10, 17, 'neu']]","[['modules', 'neu']]"
68,The immersion is over but there are modules waiting for you right away.,"[[36, 43, 'neu']]","[['modules', 'neu']]"
69,It's hard to look at these modules 🤧,"[[27, 34, 'neg']]","[['modules', 'neg']]"
70,10 modules per pota. I'm so sleepy.,"[[3, 10, 'neu']]","[['modules', 'neu']]"
71,ten modules = ten essay ✨ETHICS✨,"[[4, 11, 'neu']]","[['modules', 'neu']]"
72,The difficulty of Work Immersion is with modules hehe,"[[41, 48, 'neu']]","[['modules', 'neu']]"
73,I want him to finish my modules so that I can be in the same lesson this 3rd,"[[24, 31, 'neu']]","[['modules', 'neu']]"
74,64 modules is just one I finished HSHAHAHAHA,"[[3, 10, 'neu']]","[['modules', 'neu']]"
75,I'd rather stay in the house while answering my modules than staying in toxic people like u hehez,"[[48, 55, 'pos']]","[['modules', 'pos']]"
76,My speed in Manga is different than the pending modules 😘,"[[48, 55, 'neu']]","[['modules', 'neu']]"
77,"I would have checked twitter, power break after editing modules the whole day ... but this makes me feel re-energized! Thank you, Tobs!","[[56, 63, 'neu']]","[['modules', 'neu']]"
78,the many modules 😭,"[[9, 16, 'neu']]","[['modules', 'neu']]"
79,Grind into modules marecakes,"[[11, 18, 'neu']]","[['modules', 'neu']]"
80,I just finished 12 modules within 1 week and then handed out 5 modules the next day immediately.,"[[19, 26, 'neu'], [63, 70, 'neu']]","[['modules', 'neu'], ['modules', 'neu']]"
81,Help nioko answer Aries' MODULES 🥱😭😭😭,"[[25, 32, 'neu']]","[['modules', 'neu']]"
82,Stupid legit piles of piles of modules ko😅,"[[31, 38, 'neg']]","[['modules', 'neg']]"
83,"my world just revolves around my room, modules, gray's anatomy, my medicines.","[[39, 46, 'neu']]","[['modules', 'neu']]"
84,recovered i answer tomorrow of modules pramis xD,"[[31, 38, 'neu']]","[['modules', 'neu']]"
85,"omggg finally !! I have also completed all modules, PETA and research. exam na lang talaga😭","[[43, 50, 'pos']]","[['modules', 'pos']]"
86,"I complete D1-3 in immersion. Modules, on the other hand","[[30, 37, 'neu']]","[['modules', 'neu']]"
87,I said I'm going to make modules,"[[25, 32, 'neu']]","[['modules', 'neu']]"
88,please help me make my modules !! HAHAHAHAHA,"[[23, 30, 'neu']]","[['modules', 'neu']]"
89,nakakatamad naman 'tong Wika namin. 8 modules eh 5 weeks only 3rd Quarter. not teaching,"[[38, 45, 'neu']]","[['modules', 'neu']]"
90,I said I'll make modules today but I'm just a game 🤡,"[[17, 24, 'neu']]","[['modules', 'neu']]"
91,I'm more sleepy in immersion than in online class and answering modules.,"[[44, 49, 'neg'], [64, 71, 'neu']]","[['class', 'neg'], ['modules', 'neu']]"
92,@gilcylovely Masarap hahaha malakas din hahaha ayon di ako nakasagot ng maayos sa modules 🤣🤣🤣🤣,"[[82, 89, 'neu']]","[['modules', 'neu']]"
93,if I just finished the modules baby: (((,"[[23, 30, 'neu']]","[['modules', 'neu']]"
94,me to my modules 🤩,"[[9, 16, 'neu']]","[['modules', 'neu']]"
95,there it turns out I still haven't done the modules I put,"[[44, 51, 'neu']]","[['modules', 'neu']]"
96,DepEd modules really be making activities where students allocate trillions worth of PH budget lol My sister doesnt even know how she'll spend a 500-peso bill.,"[[6, 13, 'neu']]","[['modules', 'neu']]"
97,"I don't seem to have any modules, of course I work fast","[[25, 32, 'pos']]","[['modules', 'pos']]"
98,O-oo I wish I had ate niz to rest in case I remember my third day without sleep making modules 🙂,"[[87, 94, 'neu']]","[['modules', 'neu']]"
99,I really dont like the idea of ​​making fun about graduating doing modules to learn 🙃,"[[67, 74, 'neg']]","[['modules', 'neg']]"
100,@anniieepiiee totoo ate madami pakong tatapusing modules huhu naghinto lang me for them😭💖,"[[49, 56, 'neu']]","[['modules', 'neu']]"
101,When I have a lot of pending modules to do but then I choose to lie down and do nothing🤦‍♀️🤷‍♀️,"[[29, 36, 'neu']]","[['modules', 'neu']]"
102,tomorrow I'm just stretching and finished modules again,"[[42, 49, 'neu']]","[['modules', 'neu']]"
103,I will answer modules tomorrow 😴,"[[14, 21, 'neu']]","[['modules', 'neu']]"
104,Now I'm chasing buset modules,"[[22, 29, 'neu']]","[['modules', 'neu']]"
105,It's annoying that other proffs are torturing the Modules that you make them think you're teaching.,"[[50, 57, 'neg'], [90, 98, 'neg']]","[['modules', 'neg'], ['teaching', 'neg']]"
106,Three modules left!,"[[6, 13, 'neu']]","[['modules', 'neu']]"
107,@avantgardener74 thank u pteyt now do ur modules or sumn ❤️❤️❤️,"[[41, 48, 'neu']]","[['modules', 'neu']]"
108,"My daughter uses my 10-year-old laptop for her online classes. Before the start of the school year, I upgraded the RAM and to a SSD. Wowza. What a difference. But lately the LAN and wifi modules seem to be conking out.","[[54, 61, 'neu'], [187, 194, 'neg']]","[['classes', 'neu'], ['modules', 'neg']]"
109,"Until the office, I am followed by assignments/modules by teenagers. https://t.co/DxE0ygaZrn","[[35, 46, 'neu'], [47, 54, 'neu']]","[['assignments', 'neu'], ['modules', 'neu']]"
110,"Printed copies of Modules and Notes delivered to Constellation Homes, Angono. Thank you Sir Raymart 😊 Have a wonderful day! 🌈 https://t.co/ZbgUXtANCX","[[18, 25, 'neu'], [30, 35, 'neu']]","[['modules', 'neu'], ['notes', 'neu']]"
111,Takte devil lazy I return modules.,"[[26, 33, 'neu']]","[['modules', 'neu']]"
112,"I feel stressed with the online modules now, why do I feel the difficulty of answering because I won't use a ballpen HAHAHAHAHA","[[32, 39, 'neg']]","[['modules', 'neg']]"
113,more modules to come 🥲,"[[5, 12, 'neu']]","[['modules', 'neu']]"
114,"kit once lng someone tell me this answer to modules oh,","[[44, 51, 'neu']]","[['modules', 'neu']]"
115,"""I hope someone will approach the kit"" You: have you made any modules? (and they will say let's make modules/this is the answer) that's not trendy with him, there's nothing to hope for because he also expects you SAD FACT 😔","[[62, 69, 'neu']]","[['modules', 'neu']]"
116,daming kineso sa modules pota di ba pwedeng ipasa nalang 🥺🤣,"[[17, 24, 'neg']]","[['modules', 'neg']]"
117,My brain does not accept the modules. The hard work. ⁇,"[[29, 36, 'neg']]","[['modules', 'neg']]"
118,"MS Office is also stressful on my laptop. No longer available. Need to install a new one. Finished deadline of modules on Saturday. What are you, self? I DON'T HAVE ANY PAYMENT. AHHAHAHAHAHHAHAHA","[[34, 40, 'neg'], [111, 118, 'pos']]","[['laptop', 'neg'], ['modules', 'pos']]"
119,penge nga kaduo sa modules kahit wag na sa cod tsaka ml :),"[[19, 26, 'neu']]","[['modules', 'neu']]"
120,I would have done the modules today but it seems this hypertension struggles me to do so. I need rest guys.,"[[22, 29, 'neu']]","[['modules', 'neu']]"
121,POTEK NA YAN MINY-DAY NI MAMA YUNG PAG-IYAK KO KANINA SA BAHAY DAHIL SA MODULES GAGOOOO 😭😭😭🤣,"[[72, 79, 'neg']]","[['modules', 'neg']]"
122,is this the sign to start my modules ...,"[[29, 36, 'neu']]","[['modules', 'neu']]"
123,"By the way, how are your Modules now? 📚 ANDREA SA WIKAHARIAN","[[25, 32, 'neu']]","[['modules', 'neu']]"
124,Checking of modules while having seminar while answering 😂,"[[12, 19, 'neu']]","[['modules', 'neu']]"
125,don't read modules before making outputs,"[[11, 18, 'neu']]","[['modules', 'neu']]"
126,modules what? ⁇,"[[0, 7, 'neu']]","[['modules', 'neu']]"
127,I'm too lazy to check the modules !!! ⁇,"[[26, 33, 'neg']]","[['modules', 'neg']]"
128,Can I just sleep all day and throw away all the work modules? ⁇,"[[53, 60, 'neu']]","[['modules', 'neu']]"
129,No ml No modules Wow rest day it is,"[[9, 16, 'neu']]","[['modules', 'neu']]"
130,"I'm already reading the ones on mythology and the Other modules so that I won't be surprised by what he's going to do, but son of the devil, you're very good. You are not our only subject.","[[56, 63, 'neg']]","[['modules', 'neg']]"
131,"hey, our professor at rph didn't mention 7 modules, he just wants us to focus on reviewing for the upcoming midterm exam 😭😭❤️","[[9, 18, 'neu'], [43, 50, 'neu']]","[['professor', 'neu'], ['modules', 'neu']]"
132,"Team captain, modules, work, family, cousin, friends. Sometimes I have baby time in the module, I will be told ""it's up to you, I changed you, that's how you are"" chosen ""fyi nde I will be chosen among the ones I play"" I can rest my alone time in the module and baby","[[251, 257, 'neu'], [88, 94, 'neu']]","[['module', 'neu'], ['module', 'neu']]"
133,@justchl_ GAGO KA HAHAHAHAHA MAYAYAMOT KA TALAGA ALALAM DHIL LATE DADATING MODULES BWAHAHAHAH,"[[75, 82, 'neu']]","[['modules', 'neu']]"
134,I will do my remaining modules tomorrow. Pramis. Period.,"[[23, 30, 'neu']]","[['modules', 'neu']]"
135,"nagstart nakooooo ,, sa modules? nooo sa tiktok😭😭😭","[[24, 31, 'neu']]","[['modules', 'neu']]"
136,I also spent almost 3 hours soaking in the study table making pending modules. saet sa likod 😫,"[[70, 77, 'neg']]","[['modules', 'neg']]"
137,I deserve to have a long break because I answered modules all day. tired so hmp,"[[50, 57, 'pos']]","[['modules', 'pos']]"
138,"I work from home now but what I do, is answer my brother’s modules. 😅","[[59, 66, 'neu']]","[['modules', 'neu']]"
139,hard to be an aunt. respondent of modules ampota,"[[34, 41, 'neu']]","[['modules', 'neu']]"
140,studying chinese is like taking a physics chemistry and biology modules😂,"[[64, 71, 'neu']]","[['modules', 'neu']]"
141,@CrisRobin7 we don't have modules because we probably don't have second sem. hahaha. Dipa also enrolled 😂,"[[26, 33, 'neu']]","[['modules', 'neu']]"
142,I haven't downloaded even one module yet 😐,"[[30, 36, 'neg']]","[['module', 'neg']]"
143,I will finish earlier than modules,"[[27, 34, 'neg']]","[['modules', 'neg']]"
144,finish the modules so you can get around on Sunday 😾😾😾😾,"[[11, 18, 'pos']]","[['modules', 'pos']]"
145,Just me and my dog ​​and a lot of modules,"[[34, 41, 'pos']]","[['modules', 'pos']]"
146,but I don't read my modules HAHAHAHA,"[[20, 27, 'neu']]","[['modules', 'neu']]"
147,I'll do a night shift again with mOdules later 😴,"[[33, 40, 'neu']]","[['modules', 'neu']]"
148,Because I was rushing modules HAHAHAHHAHAHA,"[[22, 29, 'neg']]","[['modules', 'neg']]"
149,"haay, finally done with my modules","[[27, 34, 'pos']]","[['modules', 'pos']]"
150,TCS portal is so haaaaaard. It wont let u file sl/vl unless you finish the modules/courses. Then when you make it cacrashed. Powtahhh,"[[75, 82, 'neu'], [83, 90, 'neu']]","[['modules', 'neu'], ['courses', 'neu']]"
151,no sleep for modules 🥲,"[[13, 20, 'neg']]","[['modules', 'neg']]"
152,lowkey nami-miss ko yung modules sa purcom kasi ginagawa kong journal dati ‘yun eh 😩,"[[25, 32, 'neu']]","[['modules', 'neu']]"
153,Answering my modules first before preparing for our Bataan Island Hopping later 😊,"[[13, 20, 'neu']]","[['modules', 'neu']]"
154,"@isabelmerana Literacy rate is down. Even the deped (learning modules) fail, so what do we expect?","[[62, 69, 'neg'], [46, 51, 'neg']]","[['modules', 'neg'], ['deped', 'neg']]"
155,tangina sila nag iinom ako nagawa ng modules amp. :)),"[[37, 44, 'neu']]","[['modules', 'neu']]"
156,"VL nila for vacations/gala. Mine to be able to rest well after doing laundry, passing modules and taking care of requirements 😢","[[86, 93, 'neu'], [113, 125, 'neu']]","[['modules', 'neu'], ['requirements', 'neu']]"
157,Hahahahaha! I'll just make it into modules. 😁,"[[35, 42, 'neu']]","[['modules', 'neu']]"
158,Brain cells on! 2 modules to go ...! 📍Fairview Terraces https://t.co/Iw3axBsbsq,"[[18, 25, 'neu']]","[['modules', 'neu']]"
159,"March 11 thursday, in the morning it didn't go well, I woke up right away and I felt like I don't care about it again, you know what your brother's piste module is asking you to answer, PAHHHH I HAVE MY OWN MODULES I CAN'T ANSWER","[[154, 160, 'neg'], [207, 214, 'neg']]","[['module', 'neg'], ['modules', 'neg']]"
160,Yawa si mamshie di pa tapos Midterm may post na agad na modules and Practicals pang Final Term huhu. Nakaka Pressure kaya🥺😭,"[[56, 63, 'neg'], [68, 78, 'neg']]","[['modules', 'neg'], ['practicals', 'neg']]"
161,Tanginaaaa I just finished all the requirements and modules I walwal naman talagaaaaaa,"[[35, 47, 'pos'], [52, 59, 'pos']]","[['requirements', 'pos'], ['modules', 'pos']]"
162,LORD PENGENG ANSWER TO MODULES,"[[23, 30, 'neu']]","[['modules', 'neu']]"
163,@lilyganados Where will you answer your modules? ⁇,"[[40, 47, 'neu']]","[['modules', 'neu']]"
164,"What else do you expect us to do here, Jack and Poy ?! Matik na! Do I still need to memorize that ..? 🙄🤔 Chikka lang! 😅 I have many more modules to answer. https://t.co/6eRSUt5MFn","[[140, 147, 'neg']]","[['ules to', 'neg']]"
165,modules ft. @cupofjoemusic ✨,"[[0, 7, 'neu']]","[['modules', 'neu']]"
166,"ugly trip moira, I'm answering modules and then I'm suddenly depressed. I've lost my appetite to answer, potecc","[[31, 38, 'neg']]","[['modules', 'neg']]"
167,"Lord, it's very difficult for me to answer the modules hahaha","[[47, 54, 'neg']]","[['modules', 'neg']]"
168,"Goodmorning I don't know if I'll be happy or not because I already finished my modules before, EVEN THOUGH THEY HAVE NOT BEEN ANSWERED YET 😭😭😭","[[79, 86, 'neu']]","[['modules', 'neu']]"
